Type,ArrivalTime,Intersection
Car,0,Intersection1
Truck,1,Intersection1
Bus,2,Intersection2
Car,3,Intersection3
Car,4,Intersection1
Truck,5,Intersection2
Bus,6,Intersection3
Car,8,Intersection1
Truck,9,Intersection2
Car,10,Intersection3
Bus,11,Intersection1
Truck,12,Intersection2
Car,14,Intersection3
Truck,15,Intersection1
Bus,16,Intersection2
Car,17,Intersection3
Truck,18,Intersection1
Car,19,Intersection2
Bus,20,Intersection3
Car,21,Intersection1
Truck,22,Intersection2
Bus,23,Intersection3
Car,24,Intersection1
Truck,25,Intersection2
Bus,26,Intersection3
Car,27,Intersection1
Truck,28,Intersection2
Bus,29,Intersection3
Car,30,Intersection1
Truck,31,Intersection2
Bus,32,Intersection3
Car,33,Intersection1
Truck,34,Intersection2
Bus,35,Intersection3
Car,36,Intersection1
Truck,37,Intersection2
Bus,38,Intersection3
Car,39,Intersection1
Truck,40,Intersection2
Bus,41,Intersection3
Car,42,Intersection1
Truck,43,Intersection2
Bus,44,Intersection3
Car,45,Intersection1
Truck,46,Intersection2
Bus,47,Intersection3
Car,48,Intersection1
Truck,49,Intersection2
Bus,50,Intersection3
Car,51,Intersection1
Truck,52,Intersection2
Bus,53,Intersection3
Car,54,Intersection1
Truck,55,Intersection2
Bus,56,Intersection3
Car,57,Intersection1
Truck,58,Intersection2
Bus,59,Intersection3
Car,60,Intersection1
Truck,61,Intersection2
Bus,62,Intersection3
Car,63,Intersection1
Truck,64,Intersection2
Bus,65,Intersection3
Car,66,Intersection1
Truck,67,Intersection2
Bus,68,Intersection3
Car,69,Intersection1
Truck,70,Intersection2
Bus,71,Intersection3
Car,72,Intersection1
Truck,73,Intersection2
Bus,74,Intersection3
Car,75,Intersection1
Truck,76,Intersection2
Bus,77,Intersection3
Car,78,Intersection1
Truck,79,Intersection2
Bus,80,Intersection3
Car,81,Intersection1
Truck,82,Intersection2
Bus,83,Intersection3
Car,84,Intersection1
Truck,85,Intersection2
Bus,86,Intersection3
Car,87,Intersection1
Truck,88,Intersection2
Bus,89,Intersection3
Car,90,Intersection1
Truck,91,Intersection2
Bus,92,Intersection3
Car,93,Intersection1
Truck,94,Intersection2
Bus,95,Intersection3
Car,96,Intersection1
Truck,97,Intersection2
Bus,98,Intersection3
Car,99,Intersection1
Truck,100,Intersection2
